Symbol,Volume USD,Total Target Amount,Total Source Paid,Source Symbol,Price USD,Level,Trade Count,Decimals,Address
"THOR",10.03,303.5911954335529,0.001419964936244091,"ETH",0.033031123048612644,1,1,18,"0xa5f2211b9b8170f694421f2046281775e8468044"
"0xaa4e...355b",9.20,1293.840634295081,0.001493504827138864,"ETH",0.007114442463447425,1,1,18,"0xaa4e3edb11afa93c41db59842b29de64b72e355b"
"0x8888...35c5",9.06,733.408297965176,0.02430343274773465,"ETH",0.01235076341193666,1,2,18,"0x8888801af4d980682e47f1a9036e589479e835c5"
"0x8677...5f83",7.77,11934.244601874245,0.003095416114767244,"ETH",0.0,1,2,18,"0x86772b1409b61c639eaac9ba0acfbb6e238e5f83"
"Neiro",7.44,86711.686119691,0.002122698949751951,"ETH",8.585206643253875e-05,1,1,9,"0x812ba41e071c7b7fa4ebcfb62df5f45f6fa853ee"
"ICHI",7.22,75.865585424,2.4895984308389e-05,"ETH",0.09519743985870825,1,1,9,"0x903bef1736cddf2a537176cf3c64579c3867a881"
"RARI",5.82,65.58407691797146,0.003767882936068609,"ETH",0.08877609677187924,1,1,18,"0xfca59cd816ab1ead66534d82bc21e7515ce441cf"
"FRAX",5.60,5.650901413669825,0.002357469774867563,"ETH",0.9909438877015716,1,1,18,"0x853d955acef822db058eb8505911ed77f175b99e"
"MLN",4.87,3.795801385017264,0.014225278423407484,"ETH",1.283846964085418,1,1,18,"0xec67005c4e498ec7f55e092bd1d35cbc47c91892"
"GTC",4.45,53.19406382560315,0.004843729371582943,"ETH",0.08369699783544851,1,1,18,"0xde30da39c46104798bb5aa3fe8b9e0e1f348163f"
"ALEPH",3.91,336.9063287788353,0.007489980552039035,"ETH",0.011591524173929531,1,1,18,"0x27702a26126e0b3702af63ee09ac4d1a084ef628"
"SUSHI",3.52,17.7437338170241,0.00129055887759132,"ETH",0.19813045372555707,1,1,18,"0x6b3595068778dd592e39a122f4f5a5cf09c90fe2"
"MASK",3.39,7.983813676088626,0.000727547870908317,"ETH",0.42411380590476594,1,1,18,"0x69af81e73a73b40adf4f3d4223cd9b1ece623074"
"SMT",3.08,358.16201842333066,0.005197783916635566,"ETH",0.008605304074328001,1,3,18,"0xb17548c7b510427baac4e267bea62e800b247173"
"RPL",1.35,1.8938602476464228,0.000538505345707754,"ETH",0.0,1,1,18,"0xb4efd85c19999d84251304bda99e90b92300bd93"
"SHRUB",1.29,1455.9822136110552,0.000319285251587196,"ETH",0.0008842123609711652,1,1,18,"0x3b991130eae3cca364406d718da22fa1c3e7c256"
"ALPHA",1.11,2299.8157277649457,0.04136977525575417,"ETH",0.0004821584826447384,1,1,18,"0xa1faa113cbe53436df28ff0aee54275c13b40975"
